conso_observée_2019,conso_prédite,moyenne_conso_16_a_18,Mois,insee
408620.0,424632.0,445794.33,1,11
480190.0,436805.0,481503.67,1,11
504787.0,441838.0,488835.33,1,11
516136.0,446461.0,501146.33,1,11
484002.0,442711.0,504881.33,1,11
473411.0,441068.0,504345.67,1,11
510287.0,427457.0,500429.0,1,11
495768.0,422526.0,500998.33,1,11
525967.0,441170.0,493611.67,1,11
553585.0,451751.0,485194.33,1,11
529622.0,436907.0,501415.67,1,11
469239.0,423964.0,507935.33,1,11
430292.0,411072.0,515807.67,1,11
487083.0,420985.0,503690.0,1,11
501307.0,428227.0,525831.33,1,11
514299.0,442968.0,525573.0,1,11
518032.0,436496.0,541397.33,1,11
549530.0,454987.0,569333.33,1,11
537870.0,466852.0,584055.33,1,11
514873.0,456733.0,575359.0,1,11
587846.0,468033.0,554145.67,1,11
608458.0,470293.0,542259.67,1,11
598431.0,464335.0,533557.33,1,11
597925.0,465722.0,509722.33,1,11
567363.0,441119.0,526638.0,1,11
474745.0,427200.0,528776.0,1,11
464030.0,434134.0,509188.67,1,11
541765.0,442198.0,467739.0,1,11
574062.0,459199.0,480407.67,1,11
572975.0,455398.0,472168.67,1,11
584695.0,460123.0,453708.0,1,11
548863.0,441324.0,471260.0,2,11
509458.0,445485.0,477663.0,2,11
503116.0,444098.0,477875.0,2,11
582636.0,460945.0,478802.33,2,11
554693.0,436034.0,496003.33,2,11
531897.0,431463.0,503293.33,2,11
487564.0,416825.0,504451.67,2,11
492282.0,422012.0,527718.67,2,11
441446.0,412870.0,544131.0,2,11
427608.0,420625.0,535625.0,2,11
515254.0,431514.0,516728.0,2,11
534531.0,443071.0,530512.67,2,11
538025.0,445382.0,527107.67,2,11
516713.0,426994.0,518160.67,2,11
489747.0,412921.0,507529.33,2,11
441231.0,415232.0,504490.0,2,11
412740.0,405627.0,504740.67,2,11
459706.0,414975.0,500783.0,2,11
462975.0,418468.0,506955.0,2,11
476501.0,423142.0,485464.0,2,11
457601.0,409839.0,465795.67,2,11
446636.0,406038.0,487697.67,2,11
391887.0,403830.0,498074.0,2,11
385811.0,415078.0,503168.0,2,11
427240.0,404446.0,493313.0,2,11
417414.0,398539.0,511799.67,2,11
409106.0,393506.0,528367.33,2,11
407591.0,403933.0,541449.67,2,11
415887.0,409736.0,558199.0,3,11
382149.0,409223.0,517913.67,3,11
365089.0,397615.0,489435.33,3,11
427548.0,418160.0,466175.33,3,11
452059.0,418160.0,469414.67,3,11
444259.0,410661.0,483850.0,3,11
433184.0,411021.0,506807.67,3,11
435990.0,416927.0,504586.33,3,11
388063.0,400491.0,476869.67,3,11
357780.0,401262.0,449558.33,3,11
451990.0,427816.0,411586.67,3,11
462561.0,418417.0,408394.67,3,11
470317.0,422063.0,428358.67,3,11
466963.0,415386.0,452237.33,3,11
435138.0,398026.0,445907.33,3,11
379414.0,398231.0,442122.33,3,11
390769.0,425659.0,443325.0,3,11
457155.0,424580.0,450104.67,3,11
456188.0,421807.0,465194.67,3,11
443573.0,417287.0,475726.0,3,11
417846.0,406090.0,484775.0,3,11
404494.0,399361.0,476195.0,3,11
379986.0,412561.0,474638.33,3,11
371926.0,410507.0,442573.0,3,11
428048.0,421293.0,407280.33,3,11
430699.0,415335.0,391683.0,3,11
426982.0,416670.0,401882.0,3,11
417066.0,410147.0,408557.33,3,11
396261.0,397050.0,428687.33,3,11
346596.0,392068.0,424920.33,3,11
329628.0,388935.0,414932.0,3,11
366466.0,383593.0,397966.33,4,11
374282.0,391246.0,379846.0,4,11
411117.0,424940.0,376945.33,4,11
417166.0,425351.0,390338.67,4,11
416979.0,418725.0,397310.67,4,11
363255.0,402546.0,395817.67,4,11
339622.0,398283.0,379046.67,4,11
388516.0,398642.0,351658.0,4,11
391864.0,399926.0,352243.0,4,11
402532.0,405987.0,362316.67,4,11
405648.0,416208.0,380418.67,4,11
416247.0,426481.0,383332.0,4,11
400012.0,434750.0,374457.67,4,11
398000.0,437524.0,358695.0,4,11
424138.0,413486.0,342948.33,4,11
410856.0,404241.0,344368.33,4,11
391436.0,395920.0,352428.0,4,11
359056.0,369057.0,385405.0,4,11
345204.0,364024.0,381588.33,4,11
298398.0,354522.0,378457.33,4,11
276465.0,363459.0,352812.33,4,11
283561.0,363253.0,327933.67,4,11
318227.0,370958.0,331894.67,4,11
326658.0,384928.0,358195.0,4,11
341627.0,393917.0,388058.0,4,11
339963.0,401570.0,399063.0,4,11
316428.0,407579.0,403565.0,4,11
328016.0,413640.0,387643.0,4,11
364637.0,405730.0,360920.33,4,11
359169.0,398180.0,371526.67,4,11
307824.0,390476.0,349978.67,5,11
347686.0,397769.0,385338.0,5,11
357131.0,400337.0,380995.67,5,11
358182.0,429665.0,372035.0,5,11
360492.0,421704.0,332547.67,5,11
406211.0,421807.0,316639.33,5,11
387244.0,404292.0,314904.33,5,11
344820.0,391708.0,308936.0,5,11
375450.0,396177.0,343975.33,5,11
370984.0,391606.0,333775.0,5,11
343073.0,389962.0,337565.67,5,11
330663.0,405268.0,329697.0,5,11
365376.0,397255.0,315393.67,5,11
356475.0,391246.0,320913.67,5,11
347084.0,390476.0,333339.0,5,11
344488.0,395869.0,333813.33,5,11
345394.0,386675.0,346388.33,5,11
312605.0,378046.0,342639.67,5,11
304308.0,382514.0,335623.0,5,11
348248.0,379227.0,314850.33,5,11
346270.0,379022.0,297458.33,5,11
341884.0,377121.0,320446.33,5,11
337099.0,373115.0,341581.0,5,11
328533.0,363151.0,345349.33,5,11
296938.0,368801.0,326830.0,5,11
284261.0,374553.0,318987.0,5,11
325993.0,365205.0,307682.0,5,11
333588.0,386880.0,307211.67,5,11
333243.0,384209.0,321982.33,5,11
290030.0,366592.0,345098.0,5,11
305080.0,356628.0,346830.67,5,11
289418.0,344044.0,342536.0,6,11
278582.0,323448.0,332129.33,6,11
321467.0,357039.0,314082.33,6,11
326475.0,343068.0,310095.67,6,11
330600.0,389859.0,310988.0,6,11
326402.0,377994.0,335669.67,6,11
318752.0,380922.0,332828.33,6,11
283102.0,376197.0,332611.67,6,11
267505.0,378508.0,320197.67,6,11
285985.0,379073.0,303053.0,6,11
328357.0,387599.0,305211.33,6,11
335837.0,389192.0,312614.67,6,11
329923.0,378611.0,328634.33,6,11
325703.0,361456.0,332218.0,6,11
289489.0,363202.0,336138.67,6,11
277902.0,361661.0,318852.33,6,11
320782.0,352056.0,301596.0,6,11
330413.0,339319.0,301949.33,6,11
332685.0,336648.0,320037.33,6,11
324442.0,364024.0,346319.33,6,11
317775.0,367927.0,347403.33,6,11
290325.0,358579.0,344960.67,6,11
282761.0,337315.0,324134.33,6,11
342286.0,320674.0,301947.0,6,11
357823.0,312970.0,300230.33,6,11
363655.0,309272.0,317020.33,6,11
356829.0,316103.0,336448.33,6,11
345630.0,318619.0,332549.67,6,11
315978.0,308655.0,330091.67,6,11
294062.0,328481.0,319030.67,6,11
326259.0,349334.0,303503.33,7,11
326017.0,355960.0,301193.67,7,11
324906.0,350721.0,316446.0,7,11
322130.0,346150.0,336051.0,7,11
320259.0,332487.0,336318.33,7,11
296922.0,322369.0,337394.0,7,11
277349.0,341938.0,326967.67,7,11
309193.0,355035.0,305954.67,7,11
312142.0,359915.0,303129.33,7,11
316677.0,345379.0,309007.67,7,11
320668.0,327197.0,320650.67,7,11
315944.0,342298.0,321334.33,7,11
283030.0,347896.0,317160.67,7,11
261033.0,364332.0,278503.0,7,11
297310.0,358939.0,281171.67,7,11
304859.0,353700.0,287986.33,7,11
310822.0,339678.0,305108.67,7,11
309223.0,340140.0,329310.0,7,11
308116.0,333001.0,334762.33,7,11
280597.0,333720.0,326500.0,7,11
267337.0,337726.0,307781.0,7,11
315360.0,324783.0,289254.33,7,11
335323.0,302029.0,289759.33,7,11
349516.0,284720.0,302026.33,7,11
355174.0,273215.0,322776.67,7,11
333835.0,316051.0,321633.67,7,11
276386.0,354111.0,316047.33,7,11
255450.0,351132.0,297255.0,7,11
302051.0,343993.0,281094.0,7,11
298567.0,344455.0,277390.33,7,11
297378.0,354214.0,284935.0,7,11
298750.0,344506.0,299098.0,8,11
293291.0,336750.0,302247.67,8,11
260577.0,350516.0,303464.33,8,11
251504.0,331049.0,289280.33,8,11
284501.0,337059.0,268928.67,8,11
283492.0,348410.0,268012.67,8,11
280709.0,342143.0,278833.67,8,11
284896.0,336340.0,282793.33,8,11
286235.0,335775.0,277922.0,8,11
249591.0,339062.0,274867.33,8,11
236208.0,361764.0,266647.33,8,11
264556.0,365308.0,256579.33,8,11
263936.0,373064.0,253882.67,8,11
266920.0,354625.0,258346.0,8,11
242582.0,349488.0,251595.33,8,11
256065.0,354881.0,280804.33,8,11
245364.0,360583.0,280836.0,8,11
232104.0,351646.0,272238.0,8,11
260692.0,360634.0,260057.0,8,11
259447.0,359658.0,261958.0,8,11
256169.0,363048.0,273712.67,8,11
262116.0,353084.0,296038.67,8,11
265864.0,342965.0,301663.67,8,11
265041.0,331974.0,300633.0,8,11
262386.0,323550.0,295350.33,8,11
300771.0,320725.0,284999.0,8,11
305944.0,314562.0,288333.33,8,11
303884.0,325297.0,300589.0,8,11
297732.0,343428.0,319904.33,8,11
295785.0,347999.0,320445.33,8,11
270971.0,325605.0,316257.67,8,11
266827.0,356730.0,304390.33,9,11
293973.0,368749.0,293267.67,9,11
301671.0,363562.0,295954.0,9,11
303114.0,358477.0,308394.33,9,11
297152.0,379279.0,326646.33,9,11
294877.0,381384.0,327420.33,9,11
264094.0,371626.0,323575.0,9,11
271340.0,381076.0,312891.0,9,11
292439.0,386110.0,298021.67,9,11
318499.0,370804.0,298224.33,9,11
