conso_observée_2019,conso_prédite,moyenne_conso_16_a_18,Mois
2906401.0,3115793.0,2924510.34,1
3219802.0,3195455.0,3118251.99,1
3503074.0,3366800.0,3234999.66,1
3626644.0,3406758.0,3361785.33,1
3411017.0,3376455.0,3366489.99,1
3296784.0,3306988.0,3378212.0,1
3557845.0,3204545.0,3328649.34,1
3512160.0,3115201.0,3323602.66,1
3575838.0,3266668.0,3308219.33,1
3735794.0,3394587.0,3264195.34,1
3693193.0,3339807.0,3378332.67,1
3333616.0,3166921.0,3416244.33,1
3060365.0,2991210.0,3431097.68,1
3298924.0,3006877.0,3375683.7,1
3416794.0,3133871.0,3491750.65,1
3528286.0,3228661.0,3490487.02,1
3462591.0,3152952.0,3576721.68,1
3617838.0,3392609.0,3781085.0,1
3398750.0,3387652.0,3775957.33,1
3273800.0,3311867.0,3685920.31,1
3704889.0,3449596.0,3526782.0,1
3837126.0,3471835.0,3522244.65,1
3807967.0,3410870.0,3430187.32,1
3875842.0,3464260.0,3395284.33,1
3743022.0,3297949.0,3500167.67,1
3286042.0,3110630.0,3522892.0,1
3184141.0,3154441.0,3389583.33,1
3572481.0,3258066.0,3168730.32,1
3701638.0,3362305.0,3217537.67,1
3733442.0,3358581.0,3210729.34,1
3771487.0,3333312.0,3118511.66,1
3588769.0,3188623.0,3212165.99,2
3373295.0,3291400.0,3268180.66,2
3346877.0,3316182.0,3239610.0,2
3778709.0,3407298.0,3231079.66,2
3629537.0,3207677.0,3295622.33,2
3496511.0,3074855.0,3348695.33,2
3411804.0,3052949.0,3347728.67,2
3389661.0,3018740.0,3488719.34,2
3094564.0,2945730.0,3554900.66,2
2974247.0,3002024.0,3503537.33,2
3376540.0,3126011.0,3368082.68,2
3463135.0,3208757.0,3405591.0,2
3473143.0,3184154.0,3399648.01,2
3369408.0,3048712.0,3313379.67,2
3235578.0,2941543.0,3343227.66,2
2927430.0,2931682.0,3330085.99,2
2775894.0,2863908.0,3258857.0,2
3049246.0,2957362.0,3192439.01,2
3128350.0,3022234.0,3246322.68,2
3155660.0,3013375.0,3211699.67,2
3099549.0,2937307.0,3124141.33,2
3005679.0,2848269.0,3268728.01,2
2689724.0,2820610.0,3318994.69,2
2642433.0,2918919.0,3278304.32,2
2916557.0,2862370.0,3233766.99,2
2895692.0,2769863.0,3356445.34,2
2830203.0,2701218.0,3460986.66,2
2871665.0,2843853.0,3540054.67,2
2865377.0,2887768.0,3601664.0,3
2646853.0,2868198.0,3386241.67,3
2593883.0,2749652.0,3221265.34,3
2934383.0,2918481.0,3063426.0,3
3000320.0,2906771.0,3076999.01,3
2985491.0,2842541.0,3149896.99,3
2973034.0,2877136.0,3293158.34,3
2979044.0,2970536.0,3303036.33,3
2720277.0,2809259.0,3159618.66,3
2533277.0,2760595.0,2965103.34,3
2965328.0,3018280.0,2780524.99,3
3084350.0,3014171.0,2785320.0,3
3140820.0,3011268.0,2891166.01,3
3162261.0,2961498.0,3005872.34,3
2993692.0,2789690.0,2982012.33,3
2624662.0,2717552.0,2984389.99,3
2617043.0,2961598.0,2938703.01,3
3015344.0,3056929.0,2915009.68,3
