conso_observée_2020,conso_prédite,moyenne_conso_16_a_19
99633996.0,94817310.0,105923033.25
84255336.0,81509126.0,92103211.5
83787770.0,90060467.0,91611810.5
62337452.0,76772976.0,75561888.25
61614444.0,75043076.0,70535106.0
62115846.0,68299923.0,66395161.75
66056830.0,64737879.0,68834235.0
63121967.0,62063252.0,64683376.0
65052689.0,67302695.0,66545699.25
77037543.0,82307620.0,75069933.5
80118991.0,84481789.0,89210730.0
95753768.0,94950028.0,99210448.5
